id,title,description,publishTime,duration_seconds,viewCount,likeCount,commentCount,like_to_view_ratio(%)
X1jMMFOqxEw,"$50,000 Game Of Extreme Hide And Seek - Challenge","BUY NOW MrBeast, Chandler, Chris - http://youtooz.com ENTER ON INSTAGRAM TOO https://www.instagram.com/mrbeast New ...",2019-11-28 21:00:01+00:00,903,92759192,2158975.0,50048.0,2.327505181373292
Ims5p6wjW9s,"Last To Take Hand Off Boat, Keeps It",Last one to remove their hand kept the boat! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG In this ...,2019-10-19 20:06:01+00:00,1008,68554762,1322438.0,57148.0,1.9290242740540766
NbaWrbJDr48,"Last To Leave Toilet Wins $1,000,000 (Part 3)",New Merch - https://shopmrbeast.com/ Instagram - https://www.instagram.com/mrbeast SUBSCRIBE OR I TAKE YOUR DOG ...,2019-12-07 21:11:07+00:00,946,49275426,1202564.0,47812.0,2.4404943754316806
vJH28ICkCdU,I Sold My House For $1,Download Basketball Arena and attend the $50000 Win Streak Event https://app.adjust.com/6yykn7c_ou2rw0e *LIMITED TIME ...,2021-03-06 21:00:02+00:00,649,73190107,2661083.0,115383.0,3.6358506758297264
HfJMs4mrSJM,Molten Lava Vs Giant Ice Block Experiment,In this video we played with lava and dumped it on things Buy Your Maverick Merch Here - https://shopmrbeast.com/ Shoutout to ...,2019-04-27 20:00:02+00:00,458,62502385,1282091.0,42358.0,2.05126732363893
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",Exclusive Merch Here - https://shopmrbeast.com/ YOU HAVE 7 DAYS TO BUY THIS SHIRT AND YOUR NAME WILL BE ADDED ...,2021-07-24 20:00:59+00:00,645,59015812,1997674.0,67953.0,3.384980960695754
QxGVgXf_LNk,"Going Through The Same Drive Thru 1,000 Times",I can't believe we did this lol New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-10-05 20:00:08+00:00,938,138440792,3224679.0,124528.0,2.329283842871977
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",Would you sit in a tub of snakes for $10000? New Merch - https://shopmrbeast.com/ Subscribe to Brian Barczyk: ...,2021-04-10 21:00:07+00:00,849,109152270,3125932.0,133872.0,2.863826835667275
qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",Subscribe if you want to compete! Watch My Documentary Now On Curiosity: http://curiositystream.com/BEAST New Merch ...,2021-10-23 20:00:01+00:00,943,52868114,2641598.0,116591.0,4.9965807367367026
sfv1QaRzJg8,I Ordered Pizza And Tipped The House,I Was In Youtube Rewind 2019 New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG Check me out in ...,2019-12-05 21:00:02+00:00,782,86437502,3137075.0,102806.0,3.6292985421998893
anFxsa5jXrE,"I Searched 100 Dumpsters, Here&#39;s What I Found",YOU WON'T BELIEVE WHAT WE FOUND! LOL New Merch - http://www.shopmrbeast.com/MBYTV1 SUBSCRIBE OR I TAKE ...,2019-10-12 20:10:01+00:00,1028,71845651,1324689.0,49545.0,1.8437984506536103
H1WBdh56Vq4,Spending 24 Hours In A City With No Laws,"We spent 24 hours straight in slab city, aka the city with no laws. New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...",2019-05-07 21:00:01+00:00,869,86936731,1686936.0,62530.0,1.9404180265301212
LU_xVr4b2qM,"Going Around A Ferris Wheel 1,000 Times Straight",Thanks to Epic Games for sponsoring this video! Download Battle Breakers - http://bit.ly/codeMrBeast FOLLOW 4 COOKIE ...,2019-11-16 21:00:47+00:00,776,54521829,1436159.0,46098.0,2.63409908717479
uE6gud1voDs,"Ordering Water Then Tipping $30,000",You won't believe how they reacted to the $30000 we tipped! subscribe for a car New Merch - https://shopmrbeast.com/ ...,2018-10-23 20:11:02+00:00,723,39714916,1067119.0,47639.0,2.686947644557526
UtnsWzaoRtg,World&#39;s Largest Game Of Dodgeball,THIS GAME OF DODGEBALL WAS INSANE!!!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-07-12 20:05:00+00:00,677,42172274,1034966.0,54769.0,2.4541384702186084
0DaMUhgcAqo,Destroying My Friend&#39;s Car And Surprising Him With A New One,I DROPPED A METEOR ON MY FRIEND'S CAR New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-08-10 20:00:00+00:00,893,72016728,1962449.0,60791.0,2.7249905049837864
9cCpZl8euLI,I Gave A Homeless Man A Home,WE GAVE A HOMELESS PERSON A HOUSE idk y caps Get Honey and start saving money today ...,2019-02-28 22:06:00+00:00,840,63719508,1891854.0,114574.0,2.9690342241813923
AS6WMS_Bemg,I Can&#39;t Believe I Found This Stuff On Amazon..,It should be illegal to sell this stuff. Get your chair here - https://www.gtomegaracing.com/ SUBSCRIBE FOR A FREE CAR BUY ...,2017-12-22 23:19:10+00:00,501,26928544,1101599.0,25163.0,4.0908227344189125
